,lecturer_topic,learning_program_topic,facility_topic,orther_topic
44,"giảng viên cho bài tập nhiều đầy đủ .
","đề nghị bỏ phần thì lý thuyết vào cuối kỳ , chỉ lấy 2 cột điểm seminar giữa kỳ và đồ án cuối kỳ .
","phòng lab khoa wzjwz143 quá nóng .
","em xin hết .
"
45,"up các bài giảng đầy đủ .
","bài tập rất hay và thiết thực , cho sinh viên nhiều lựa chọn .
","phòng máy không đáp ứng tốt , gây khó khăn cho việc làm bài .
","sinh viên không hiểu lắm .
"
46,"thầy hiền , giảng bài tương đối dễ hiểu .
","nên tăng thời lượng môn học vì chương trình học còn khá nặng đối với sinh viên học lần đầu .
","thiết bị để làm còn ít .
","hầu như không có điều không hài lòng .
"
47,"cô dạy hay , em không có ý kiến .
","nếu có hướng dẫn cũng là lý thuyết suông khó áp dụng .
","vật chất cần cải tiến .
","bọn em không thể nghe rõ .
"
48,"nhiều câu chuyện hài hước và thực tế có liên quan đến bài học .
","kinh mong nhà trường làm rõ việc này và đảm bảo công bằng cho sinh viên !
","phòng thực hành còn chưa đảm bảo đủ số lượng học sinh của lớp học thực hành .
","không có !
"
49,"tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .
","thời gian học .
","phòng lab thực hành đã quá cũ nát , nên cải tiến và xây dựng hệ thống phòng lab để sinh viên có thể thực hành các kỹ năng của môn học này .
","tiếp thu bài cũng ổn .
"
50,"sự nhiệt tình của thầy , thầy rất quan tâm đến sinh viên .
","cần tăng những kỹ năng nghe , nói , đọc , viết , tạo môi trường để giao tiếp anh văn hiệu quả .
","tránh trường hợp sử dụng phòng wzjwz136 vì phòng này rất nhỏ không đảm bảo để cho việc thực hành .
","hoàn toàn bình thường .
"
51,"dạy tâm huyết , hướng dẫn rõ ràng , em rất hài lòng về thầy x .
","thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .
","sử dụng thời gian ở lớp hiệu quả .
","được biết thêm nhiều kiến thức khác ở bên ngoài giúp mở rộng tầm mắt .
"
52,"giảng viên đảm bảo thời gian trên lớp , tạo điều kiện trong quá trình thực hành và thi thực hành .
","tiến độ dạy hơi nhanh .
","cần cải tiến trang thiết bị phòng học , wifi .
","lớp quá đông nên khó tiếp thu .
"
53,"thầy dạy rất nhiệt tình và phương pháp dạy của thầy rất hay làm em có muốn cũng không dám nghỉ bữa nào trong suốt học kỳ .
","cách diễn đạt đôi lúc còn khó hiểu .
","phòng lab trang bị máy cấu hình không đủ để chạy máy ảo .
","một số lúc .
"
54,"thầy dạy dễ hiểu , tận tâm , nhiệt tình .
","em nghĩ nếu môn học dạy kiến thức nền tảng áp dụng lập trình trên nhiều nền tảng khác nhau , không đơn thuần chỉ là j2e thì tốt quá !
","thiếu điều kiện thực hành trên các thiết bị thật .
","hay và bổ ích .
"
55,"thầy wzjwz322 vui tính , hài hước , thực tế , cụ thể trong việc hướng dẫn sinh viên làm đồ án .
","đề nghị tăng tiết học cho môn này .
","trang thiết bị thực hành nên được đầu tư hơn .
","tạm thời chưa có .
"
56,"giảng viên cần ân cần giảng lại khi sinh viên có những khúc mắc trong lúc thực hành .
","bài tập thực hành sát với lý thuyết .
","hay bị trục trặc khi sử dụng .
","lớp buồn không có ý kiến nhiều .
"
57,"nghỉ nhiều quá , học bù thì khiến giờ giấc không ổn định .
","nội dung môn học hay và bổ ích cho công việc sau này .
","trang bị máy tốt hơn , máy chạy chậm ảnh hưởng việc học .
","giáo trình mới .
"
58,"giảng bài xúc tích .
","không công bằng trong việc điểm danh .
","hệ thống âm thanh hỗ trợ những bài nghe không được như yêu cầu môn học .
","học không hiểu .
"
59,"cô dạy rất hay , gần gũi với tụi em .
","môn wzjwz19 khá xa lạ đối với em .
","tăng thêm thiết bị để hỗ trợ tốt hơn cho việc học tập .
","không ạ .
"
60,"nếu thầy hướng dẫn cài đặt các thuật toán nữa là tuyệt vời luôn .
","môn học quá trừu tượng nên cần phải có ví dụ và mô hình cụ thể cho từng phần .
","cần sắp xếp phòng học phù hợp với số lượng sinh viên , vệ sinh phòng học còn nhiều mặt chưa tốt .
","cực kỳ tận tâm .
"
61,"có up bài cho sinh viên làm thêm bài tập .
","môn anh văn trường xếp lịch dạy 4 tiết , như vậy khi học xong sẽ ra muộn khoảng 6h30 mới về đến nhà ở nội thành , vì vậy những môn học 4 tiết như anh văn nên xếp học buổi sáng .
","phòng máy cần cung cấp thêm thiết bị cho sinh viên , các pc có vẻ cũng lâu cũ .
","hiệu quả .
"
62,"nhiệt tình giúp đỡ giải đáp những thắc mắc của sinh viên .
","tất cả đều mới mẻ nhưng phải làm trong một thời gian ngắn vào cuối kỳ , trong khi đó sinh viên còn phải học rất nhiều thứ khác .
","các phần mềm sử dụng phiên bản quá cũ , nên update để phù hợp với chương trình đào tạo và thực hành của sinh viên ở nhà .
","tồi tệ .
"
63,"em không thích như vậy tí xíu nào .
","cần thêm các đội ngũ giảng viên trình độ pgs , gs trở lên , một số là ts nếu có kinh nghiệm nhiều trong nghiên cứu vì đây là môn nghiên cứu khoa học .
","trang bị máy tính hiện đại hơn .
","đồ án hay .
"
64,"thầy dạy đường lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch sử qua tuyệt vời , có thể nói nếu tất cả các môn chính trị nào cũng có thầy dạy thì chắc em lên trình chính trị nhiều lắm ạ .
","làm các bài tập và mạch điện đơn giản như thế sẽ hứng thú hơn !
","cải thiện cho em chất lượng máy chiếu phòng wzjwz113 , học gần công trình đang thi công ồn lắm .
","học vậy đâu phải là học .
"
65,"thầy cho bài tập ít quá .
","hình thức này quá máy móc .
","lớp wzjwz76 tài năng của em nên được học ở phòng máy tốt , chất lượng ổn định hơn .
","khá dễ hiểu .
"
66,"không slide .
","với lượng kiến thức nhiều nên gây sự khó hiểu không tiếp thu kịp .
","môn học yêu cầu mang laptop đi thực hành ngay trên lớp nhưng phòng học thiếu ổ điện để duy trì pin cho laptop nên em không thực hành được nhiều .
","rất hài lòng .
"
67,"năng động , cập nhật kiến thức thêm những kiến thức thực tế và bổ ích .
","môn học thực sự cần những kỹ sư , những người làm việc thực tế chia sẻ như những buổi thảo luận , góp ý .
","mạng khởi động lâu .
","mặc dù đánh good nhưng vì em yếu anh văn nên em không hiểu gì về lý thuyết cả .
"
68,"cách dạy đổi mới .
","thi cuối kỳ đến và chúng em chưa học được hết môn mạng , không có buổi ôn tập , không có đề cương .
","máy chiếu của phòng học wzjwz141 khó nhìn quá .
","với lại đặc thù sinh viên trường em nó khác cô ạ .
"
69,"đôi khi ít nói , chưa hướng dẫn kỹ bài thực hành .
","đề kiểm tra quá dễ .
","sửa lại micro và loa phòng học , phòng wzjwz165 .
","có kiến thức để lập trình .
"
70,"thầy nên giảng chậm hơn va cho slide bài giảng .
","buổi học đầu tiên là 2 tuần sau thi giữa học kỳ , chỉ yêu cầu làm bài tập mà không cần làm đồ án môn học .
","thay vì đầu tư vào phòng máy , nhà trường nên nâng cấp hệ thống wifi để sinh viên có thể truy cập wifi tốt cho dù có phải ngồi trong phòng học phòng bình thường , không phải phòng máy .
","thảo luận được nhiều vấn đề .
"
71,"giảng viên nhiệt tình chia sẻ những kiến thức thực tế , các kỹ năng xã hội cần thiết , hữu ích .
","không nên "" mồi "" sinh viên làm bài tập bằng điểm .
","vì đặc thù môn mạng máy tính lại cần có mạng .
","không có điều gì không hài lòng .
"
72,"không thật sự dạy .
","nội dung môn học khá nhiều .
","sử dụng website môn học , trang thiết bị phục vu giảng dạy còn hạn chế máy chiếu quá mờ , phòng học bị nắng .
","môn này em học tệ nên không có ý kiến .
"
73,"thầy truyền đạt tốt .
","giảm thời lượng lý thuyết , tăng thời lượng thực hành .
","máy chiếu phòng wzjwz126 quá mờ , đề nghị được sửa sớm để phục vụ tốt hơn cho học tập .
","em không định hướng được mình sẽ học gì , khi học thì em không biết ứng dụng vào thực tế ra sao .
"
74,"đồ án phần bắt buộc chỉ chiếm 1dot5 điểm và chỉ biết sau khi đã nộp .
","thời gian tập luyện quá ít , kỹ thuật khá khó với những bạn lần đậu tiếp cận .
","phòng máy không đảm bảo , nhiều máy bị hư , các bạn sinh viên phải mang laptop theo , rất cực .
","tuyệt vời !
"
75,"ngoài những kiến thức trên lớp , thầy còn hướng dẫn và giảng dạy nhiều kiến thức mới , hỗ trợ tụi em rất nhiều trong quá trình hoàn thành đồ án .
","cần nhiều bài tập và lời giải chi tiết .
","phòng thực hành wzjwz34 có máy lạnh hư , dẫn tới trong phòng đôi khi rất nóng , phòng có trang bị bảng sử dụng bút lông nhưng bút lông luôn hết mực khi giảng viên cần sử dụng gây khó khăn trong việc hướng dẫn của giảng viên .
","sinh viên khó tiếp thu kiến thức .
"
76,"giảng viên dạy rất là nhiệt tình .
","nên bổ xung nhiều bài tập hơn .
","cải thiện màn hình slide , khó nhìn .
","quá nhiều .
"
77,"quá nhiệt tình .
","demo tốt .
","bộ kit thực hành hầu như tất cả đã hỏng .
","các yêu cầu của môn cần ghi rõ .
"
78,"thầy lý thuyết wzjwz223 cũng thường xuyên đi trễ .
","ít liên kết với bài tập .
","nhiều bạn trong lớp đã phải mua thêm ram , ổ cứng để đáp ứng nhu cầu .
","giờ là 2014 rồi !
"
79,"nên cho sinh viên slide để học .
","không được thực hành nhiều .
","phần thực hành môn hệ điều hành linux cần máy tính cấu hình mạnh để chạy 4 máy ảo cùng lúc , do yêu cầu của môn học thực hành .
","tương đối hài lòng .
"
80,"cách giảng của thầy đa số trong lớp không ai hiểu dù thấy có giảng lại .
","môn học có chương trình , chủ đề để sinh viên dễ nắm bắt và liên tưởng học tập .
","phòng thiết bị khoa wzjwz49 cần được chuyển sang phòng khác rộng hơn , thay vì là phòng nhỏ tí như cái kho , cần cho nhân viên vệ sinh thường xuyên , bụi đóng dày cả lớp , thiết bị ở phòng thực hành cần thường xuyên xem xét sửa chữa xem có đứt dây , lỏng hay hư hỏng gì không , vệ sinh bụi .
","chất lượng tốt không cần cải tiến .
"
81,"kiến thức chuyên môn sâu .
","làm việc nhóm .
","phòng wzjwz64 lắp đèn gây khó chịu mắt quá .
","omg .
"
82,"thầy dạy rất hay và kỹ .
","ngoại trừ khi thi thì có một số phần không được nói nhưng sao thi lại ra câu đó .
","trang thiết bị phòng học cần được nâng cấp .
","lớp học ồn .
"
83,"thầy dạy hay dễ hiểu cho làm nhiều bài tập mở rộng để hiểu bài .
","đồ án cuối kỳ thì chấm chéo về "" source code "" giữa các nhóm trong khi tên môn học là "" quản lý dự án công nghệ thông tin "" .
","nên trang bị mới loa và micro , vệ sinh phòng học .
","giữ nguyên hình thức cũ !
"
84,"những kiến thức thầy cung cấp rất đa dạng và cần thiết , cảm ơn thầy rất nhiều .
","phần thực hành cần có thời lượng cao hơn và nhiều nội dung bổ trợ lý thuyết hơn .
","máy chiếu thường có vấn đề ở phòng wzjwz145 .
","kỹ lưỡng .
"
85,"rất tận tình .
","mong nhà trường sẽ hướng đào tạo có thể giao tiếp nhiều hơn để thi ở bộ môn này .
","môn học đòi hỏi máy tính sinh viên thực hành có cấu hình cao tuy nhiên , có nhiều sinh viên không thể đảm bao điều kiện .
","không được đánh mạnh .
"
86,"phương pháp học áp dụng thực tiễn .
","đáp áp cụ thể cho bài tập cũng không có .
","phòng học cần mát mẻ và ít bụi hơn , các bộ mạch , bộ kit thí nghiệm trong phòng lab khoa wzjwz38 cần được bảo trì , sửa chữa thường xuyên , hầu như là không còn cái nào đảm bao chất lượng cả , có cái thì hỏng một ít có cái thì hỏng hết để đấy .
","tốt rồi .
"
87,"nhiệt tình , hăng hái .
","vẫn chưa được áp dụng nhiều kiến thức bên ngoài cho lắm , đa phần sử dụng các kiến thức trong sách giáo khoa là chính nên đâm ra buổi học trở nên nhàm chán hơn .
","phòng máy nên được nâng cấp .
","vì thời gian trong lớp tập trung hơn .
"
88,"giảng viên nhiệt tình , giảng dạy hiệu quả bằng tiếng anh .
","đã học trong môn lập trình trên windows mà không đi sâu vào môn đi sâu vào lập trình hệ thống nâng cao như cái tên của môn học "" lập trình hệ thống với java "" .
","trang thiết bị tốt .
","còn thiếu bài giảng trên moodle .
"
89,"cần có nhiều giảng viên như cô dạy hơn .
","thuyết trình thường xuyên .
","máy chiếu hơi mờ .
","lớp có 2 giảng viên hướng dẫn là cô wzjwz90 và thầy wzjwz91 .
"
90,"ít cho bài tập .
","thời gian hợp lý , thái độ thoải mái .
","cần phải có các thiết bị phục vụ cho môn học tốt hơn .
","em không học thầy này mà sao lại có khảo sát , em không rõ cho lắm .
"
91,"nhiệt tình giảng bài .
","có kết hợp với bài tập ví dụ .
","cần cập nhật trang thiết bị mô phỏng lại những quá trình được dạy .
","điều đó làm tăng áp lực cho sinh viên .
"
92,"đúng giờ và tận tình trong giảng dạy .
","nhưng nguyên nhân chán có lẽ vì không hiểu được mục đích môn học sau khi học xong nên không muốn học .
","giảng đường nên gắn thêm quạt hoặc máy lạnh .
","làm sao vớt vát được .
"
93,"thầy giảng nhiệt tình , truyền đạt nhiều kinh nghiệm học tập cho sinh viên .
","bài tập đầy đủ .
","màn hình chiếu của phòng còn mờ .
","cố chấp .
"
94,"cô dạy còn hơi khó hiểu .
","đề thi không phân bố điểm , nếu chạy được chương trình thì có điểm , không chạy được chương trình thì 0 điểm .
","cơ sở vật chất còn ảnh hưởng đến chất lượng môn học .
","mặc dù có kiến thức tốt !
"
95,"chúng em rất khó nắm kiến thức khi chỉ nghe các buổi seminar .
","bài giảng bằng tiếng anh giúp sinh viên tiếp cận ngoại ngữ tốt hơn .
","nhà trường hỗ trợ nhiều hơn về các thiết bị dạy và học .
","thao tác giáo án điện tử và các phần mềm hỗ trợ nhiều hơn .
"
96,"thầy có khả năng truyền đạt tốt , vui tính .
","cần điều chỉnh số lượng sinh viên hợp lý trong lớp học bởi trong lớp khá đông .
","loa và micro còn gặp nhiều sự cố trong quá trình giảng dạy , đặc biệt là kỹ năng nghe .
","cung cấp đầy đủ tài liệu và giáo trình môn học , nhiệt tình , tận tâm với sinh viên .
"
97,"em rất hài lòng về phương pháp giảng dạy này .
","các bài thực hành có liên quan tới nghiệp vụ .
","đầu tư , nâng cấp hệ thống phòng máy , có biện pháp quản lý để giám sát việc cài đặt các chương trình không phục vụ mục đích học tập , các phần mềm độc hại vào các máy tính .
","số lượng sinh viên trên một lớp cần ít hơn .
"
98,"giảng viên sử dụng thời gian lên lớp không hiệu quả .
","ngoài ra còn nhiều kiến thức ngoài .
","cần hỗ trợ các cộng cụ dạy học như micro , máy chiếu .
","chỉ học cho qua chứ không thu lượm được điều gì mới .
"
99,"giảng viên nên đến lớp đầy đủ .
","chưa sâu về nội dung .
","nhà trường nên trang bị rèm cửa sổ để tránh ánh sáng làm mờ máy chiếu , gây khó khăn trong việc báo cáo đồ án cũng như dạy học cần nâng cấp hệ thống wifi vì khi vào phòng thực hành , wifi không sử dụng được , sinh viên buộc phải ra bên ngoài để làm bài .
","học được nhiều kỹ năng mới và hay .
"
100,"thầy khá tận tình .
","sinh viên học lý thuyết nhưng thực hành không liên quan nhiều tới lý thuyết .
","cơ sở vật chất ảnh hưởng đến chất lượng môn học .
","tuyệt .
"
101,"thầy rất dễ tính .
","cần thêm giáo trình do trường biên soạn .
","phòng thực hành không đủ ổ cắm , wifi yếu nên việc dạy , demo , thuyết trình , học tập gặp hạn chế .
","cũng được .
"
102,"nhiệt tình , dễ nghe , dễ hiểu .
","giúp sinh viên hoàn thiện các kỹ năng trong việc học tập .
","các máy tính ở các phòng thực hành hầu hết đề cũ , cấu hình thấp không thể đáp ứng được nhu cầu sử dụng cho việc học tập của sinh viên .
","tạm .
"
