lecturer_topic,learning_program_topic,facility_topic,orther_topic
"[{'label': 'POSITIVE', 'score': 0.9985235333442688}]","[{'label': 'NEGATIVE', 'score': 0.9977161884307861}]","[{'label': 'NEGATIVE', 'score': 0.9976147413253784}]","[{'label': 'POSITIVE', 'score': 0.9917142987251282}]"
"[{'label': 'POSITIVE', 'score': 0.9968894124031067}]","[{'label': 'NEGATIVE', 'score': 0.9975433945655823}]","[{'label': 'NEGATIVE', 'score': 0.9977105855941772}]","[{'label': 'NEGATIVE', 'score': 0.9772807955741882}]"
"[{'label': 'POSITIVE', 'score': 0.9351140260696411}]","[{'label': 'NEGATIVE', 'score': 0.9975607395172119}]","[{'label': 'NEGATIVE', 'score': 0.9977524876594543}]","[{'label': 'POSITIVE', 'score': 0.8006976842880249}]"
"[{'label': 'POSITIVE', 'score': 0.9986340403556824}]","[{'label': 'POSITIVE', 'score': 0.9919661283493042}]","[{'label': 'NEGATIVE', 'score': 0.9977467656135559}]","[{'label': 'NEUTRAL', 'score': 0.9867510199546814}]"
"[{'label': 'POSITIVE', 'score': 0.9980760812759399}]","[{'label': 'POSITIVE', 'score': 0.9984018206596375}]","[{'label': 'NEGATIVE', 'score': 0.9976261258125305}]","[{'label': 'NEUTRAL', 'score': 0.8870903253555298}]"
"[{'label': 'NEGATIVE', 'score': 0.997336208820343}]","[{'label': 'NEGATIVE', 'score': 0.9971715807914734}]","[{'label': 'NEGATIVE', 'score': 0.9978766441345215}]","[{'label': 'NEGATIVE', 'score': 0.9975317716598511}]"
"[{'label': 'POSITIVE', 'score': 0.9979841709136963}]","[{'label': 'NEGATIVE', 'score': 0.9978013634681702}]","[{'label': 'NEGATIVE', 'score': 0.8807880878448486}]","[{'label': 'NEGATIVE', 'score': 0.9976969361305237}]"
"[{'label': 'NEGATIVE', 'score': 0.9953150749206543}]","[{'label': 'NEGATIVE', 'score': 0.9967395663261414}]","[{'label': 'NEGATIVE', 'score': 0.9978591799736023}]","[{'label': 'NEUTRAL', 'score': 0.8477352261543274}]"
"[{'label': 'POSITIVE', 'score': 0.8764958381652832}]","[{'label': 'POSITIVE', 'score': 0.9980219602584839}]","[{'label': 'NEGATIVE', 'score': 0.8271937370300293}]","[{'label': 'NEGATIVE', 'score': 0.9976383447647095}]"
"[{'label': 'POSITIVE', 'score': 0.998593270778656}]","[{'label': 'NEUTRAL', 'score': 0.6022993922233582}]","[{'label': 'NEGATIVE', 'score': 0.9978111386299133}]","[{'label': 'NEGATIVE', 'score': 0.7111057043075562}]"
"[{'label': 'POSITIVE', 'score': 0.9987764954566956}]","[{'label': 'POSITIVE', 'score': 0.9928060173988342}]","[{'label': 'NEGATIVE', 'score': 0.9978252649307251}]","[{'label': 'POSITIVE', 'score': 0.9797389507293701}]"
"[{'label': 'POSITIVE', 'score': 0.9986311793327332}]","[{'label': 'NEGATIVE', 'score': 0.9972225427627563}]","[{'label': 'NEGATIVE', 'score': 0.9973055124282837}]","[{'label': 'NEGATIVE', 'score': 0.9461153745651245}]"
"[{'label': 'POSITIVE', 'score': 0.9988312125205994}]","[{'label': 'NEGATIVE', 'score': 0.9837010502815247}]","[{'label': 'NEGATIVE', 'score': 0.9974374771118164}]","[{'label': 'POSITIVE', 'score': 0.9911905527114868}]"
"[{'label': 'NEGATIVE', 'score': 0.9963387250900269}]","[{'label': 'NEGATIVE', 'score': 0.9899023771286011}]","[{'label': 'NEGATIVE', 'score': 0.9978779554367065}]","[{'label': 'NEUTRAL', 'score': 0.848077118396759}]"
"[{'label': 'NEGATIVE', 'score': 0.9976450800895691}]","[{'label': 'NEUTRAL', 'score': 0.9785914421081543}]","[{'label': 'NEGATIVE', 'score': 0.8885571956634521}]","[{'label': 'NEGATIVE', 'score': 0.6696589589118958}]"
"[{'label': 'POSITIVE', 'score': 0.9977400302886963}]","[{'label': 'NEGATIVE', 'score': 0.9974708557128906}]","[{'label': 'NEGATIVE', 'score': 0.9975606203079224}]","[{'label': 'NEGATIVE', 'score': 0.9908102750778198}]"
"[{'label': 'POSITIVE', 'score': 0.995854377746582}]","[{'label': 'NEUTRAL', 'score': 0.963336706161499}]","[{'label': 'NEGATIVE', 'score': 0.9972802400588989}]","[{'label': 'NEGATIVE', 'score': 0.9967049956321716}]"
"[{'label': 'NEUTRAL', 'score': 0.7113572955131531}]","[{'label': 'POSITIVE', 'score': 0.9980723857879639}]","[{'label': 'NEGATIVE', 'score': 0.9953868985176086}]","[{'label': 'NEGATIVE', 'score': 0.9974730610847473}]"
"[{'label': 'NEGATIVE', 'score': 0.9976723790168762}]","[{'label': 'NEGATIVE', 'score': 0.9976388216018677}]","[{'label': 'NEGATIVE', 'score': 0.9975995421409607}]","[{'label': 'POSITIVE', 'score': 0.9707099199295044}]"
"[{'label': 'POSITIVE', 'score': 0.9987596273422241}]","[{'label': 'NEGATIVE', 'score': 0.9970260262489319}]","[{'label': 'POSITIVE', 'score': 0.5094251036643982}]","[{'label': 'NEUTRAL', 'score': 0.9263999462127686}]"
"[{'label': 'POSITIVE', 'score': 0.9986201524734497}]","[{'label': 'NEGATIVE', 'score': 0.9973509311676025}]","[{'label': 'NEGATIVE', 'score': 0.9978151321411133}]","[{'label': 'NEUTRAL', 'score': 0.9841668605804443}]"
"[{'label': 'NEGATIVE', 'score': 0.9972791075706482}]","[{'label': 'NEGATIVE', 'score': 0.9969798922538757}]","[{'label': 'NEGATIVE', 'score': 0.9952998161315918}]","[{'label': 'NEGATIVE', 'score': 0.9965971112251282}]"
"[{'label': 'NEGATIVE', 'score': 0.9969450831413269}]","[{'label': 'POSITIVE', 'score': 0.9977383613586426}]","[{'label': 'NEGATIVE', 'score': 0.5686283111572266}]","[{'label': 'POSITIVE', 'score': 0.9978652596473694}]"
"[{'label': 'POSITIVE', 'score': 0.9986913800239563}]","[{'label': 'NEGATIVE', 'score': 0.9971808195114136}]","[{'label': 'NEGATIVE', 'score': 0.997657299041748}]","[{'label': 'NEUTRAL', 'score': 0.7397690415382385}]"
"[{'label': 'NEGATIVE', 'score': 0.9974326491355896}]","[{'label': 'NEGATIVE', 'score': 0.9979496598243713}]","[{'label': 'POSITIVE', 'score': 0.9979288578033447}]","[{'label': 'NEUTRAL', 'score': 0.9380214810371399}]"
"[{'label': 'NEGATIVE', 'score': 0.93947434425354}]","[{'label': 'NEGATIVE', 'score': 0.9972043633460999}]","[{'label': 'POSITIVE', 'score': 0.8236340880393982}]","[{'label': 'NEGATIVE', 'score': 0.9731936454772949}]"
"[{'label': 'POSITIVE', 'score': 0.9986671209335327}]","[{'label': 'NEGATIVE', 'score': 0.9974477291107178}]","[{'label': 'NEGATIVE', 'score': 0.9970542192459106}]","[{'label': 'NEGATIVE', 'score': 0.9857574701309204}]"
"[{'label': 'NEGATIVE', 'score': 0.9964982271194458}]","[{'label': 'NEGATIVE', 'score': 0.9845864772796631}]","[{'label': 'NEGATIVE', 'score': 0.9978538155555725}]","[{'label': 'NEGATIVE', 'score': 0.9955535531044006}]"
"[{'label': 'POSITIVE', 'score': 0.9986428618431091}]","[{'label': 'NEGATIVE', 'score': 0.9976146221160889}]","[{'label': 'NEUTRAL', 'score': 0.5164328813552856}]","[{'label': 'POSITIVE', 'score': 0.997972309589386}]"
"[{'label': 'POSITIVE', 'score': 0.9986818432807922}]","[{'label': 'NEGATIVE', 'score': 0.9975488781929016}]","[{'label': 'NEGATIVE', 'score': 0.9975312948226929}]","[{'label': 'NEUTRAL', 'score': 0.9323256015777588}]"
"[{'label': 'POSITIVE', 'score': 0.9921297430992126}]","[{'label': 'NEGATIVE', 'score': 0.9979428648948669}]","[{'label': 'NEGATIVE', 'score': 0.997310996055603}]","[{'label': 'NEUTRAL', 'score': 0.7400945425033569}]"
"[{'label': 'POSITIVE', 'score': 0.9907463788986206}]","[{'label': 'POSITIVE', 'score': 0.9974875450134277}]","[{'label': 'NEGATIVE', 'score': 0.9970356225967407}]","[{'label': 'NEGATIVE', 'score': 0.9886496067047119}]"
"[{'label': 'POSITIVE', 'score': 0.9987021684646606}]","[{'label': 'NEGATIVE', 'score': 0.997686505317688}]","[{'label': 'NEGATIVE', 'score': 0.9964867830276489}]","[{'label': 'NEUTRAL', 'score': 0.9876871705055237}]"
"[{'label': 'POSITIVE', 'score': 0.9929846525192261}]","[{'label': 'NEGATIVE', 'score': 0.9974295496940613}]","[{'label': 'NEGATIVE', 'score': 0.9959964752197266}]","[{'label': 'NEUTRAL', 'score': 0.7594963312149048}]"
"[{'label': 'POSITIVE', 'score': 0.997533917427063}]","[{'label': 'NEGATIVE', 'score': 0.9968650937080383}]","[{'label': 'NEGATIVE', 'score': 0.9970499277114868}]","[{'label': 'NEUTRAL', 'score': 0.9510669112205505}]"
"[{'label': 'POSITIVE', 'score': 0.9977516531944275}]","[{'label': 'POSITIVE', 'score': 0.5165552496910095}]","[{'label': 'NEGATIVE', 'score': 0.9976587295532227}]","[{'label': 'POSITIVE', 'score': 0.7694414854049683}]"
"[{'label': 'POSITIVE', 'score': 0.9987347722053528}]","[{'label': 'NEGATIVE', 'score': 0.9969509840011597}]","[{'label': 'NEGATIVE', 'score': 0.9977401494979858}]","[{'label': 'NEUTRAL', 'score': 0.7407839298248291}]"
"[{'label': 'POSITIVE', 'score': 0.998659610748291}]","[{'label': 'NEGATIVE', 'score': 0.9976098537445068}]","[{'label': 'POSITIVE', 'score': 0.9958239793777466}]","[{'label': 'POSITIVE', 'score': 0.9940912127494812}]"
"[{'label': 'POSITIVE', 'score': 0.9829041361808777}]","[{'label': 'NEGATIVE', 'score': 0.9959902167320251}]","[{'label': 'NEGATIVE', 'score': 0.997657060623169}]","[{'label': 'NEGATIVE', 'score': 0.9970210194587708}]"
"[{'label': 'POSITIVE', 'score': 0.9983787536621094}]","[{'label': 'NEGATIVE', 'score': 0.9972780346870422}]","[{'label': 'NEGATIVE', 'score': 0.9973371624946594}]","[{'label': 'NEUTRAL', 'score': 0.9780875444412231}]"
"[{'label': 'POSITIVE', 'score': 0.9987791180610657}]","[{'label': 'NEGATIVE', 'score': 0.9976542592048645}]","[{'label': 'NEGATIVE', 'score': 0.9966713786125183}]","[{'label': 'POSITIVE', 'score': 0.9978185892105103}]"
"[{'label': 'POSITIVE', 'score': 0.9986528158187866}]","[{'label': 'NEGATIVE', 'score': 0.9976961016654968}]","[{'label': 'NEGATIVE', 'score': 0.9977001547813416}]","[{'label': 'NEUTRAL', 'score': 0.9810416102409363}]"
"[{'label': 'NEGATIVE', 'score': 0.8869752287864685}]","[{'label': 'POSITIVE', 'score': 0.9588276743888855}]","[{'label': 'NEGATIVE', 'score': 0.9974925518035889}]","[{'label': 'NEUTRAL', 'score': 0.5526143312454224}]"
"[{'label': 'NEGATIVE', 'score': 0.9977926015853882}]","[{'label': 'POSITIVE', 'score': 0.9975820779800415}]","[{'label': 'NEGATIVE', 'score': 0.9966813921928406}]","[{'label': 'POSITIVE', 'score': 0.9781703352928162}]"
"[{'label': 'POSITIVE', 'score': 0.9982971549034119}]","[{'label': 'NEGATIVE', 'score': 0.9977021813392639}]","[{'label': 'NEGATIVE', 'score': 0.9966938495635986}]","[{'label': 'NEGATIVE', 'score': 0.9973390698432922}]"
"[{'label': 'POSITIVE', 'score': 0.9986472725868225}]","[{'label': 'NEUTRAL', 'score': 0.939196765422821}]","[{'label': 'NEGATIVE', 'score': 0.9970358610153198}]","[{'label': 'NEUTRAL', 'score': 0.9913791418075562}]"
"[{'label': 'POSITIVE', 'score': 0.9840960502624512}]","[{'label': 'NEGATIVE', 'score': 0.9975898265838623}]","[{'label': 'NEGATIVE', 'score': 0.997825026512146}]","[{'label': 'POSITIVE', 'score': 0.9968481659889221}]"
"[{'label': 'POSITIVE', 'score': 0.9922311902046204}]","[{'label': 'NEGATIVE', 'score': 0.9979262351989746}]","[{'label': 'NEGATIVE', 'score': 0.9964600205421448}]","[{'label': 'POSITIVE', 'score': 0.9962722063064575}]"
"[{'label': 'POSITIVE', 'score': 0.9987731575965881}]","[{'label': 'NEGATIVE', 'score': 0.961634635925293}]","[{'label': 'NEGATIVE', 'score': 0.9975469708442688}]","[{'label': 'NEGATIVE', 'score': 0.9973211884498596}]"
"[{'label': 'NEGATIVE', 'score': 0.9964575171470642}]","[{'label': 'NEGATIVE', 'score': 0.9978199005126953}]","[{'label': 'NEGATIVE', 'score': 0.9845194816589355}]","[{'label': 'POSITIVE', 'score': 0.9971565008163452}]"
"[{'label': 'POSITIVE', 'score': 0.9950146079063416}]","[{'label': 'NEGATIVE', 'score': 0.9960980415344238}]","[{'label': 'NEGATIVE', 'score': 0.9971449971199036}]","[{'label': 'NEGATIVE', 'score': 0.9971599578857422}]"
"[{'label': 'NEGATIVE', 'score': 0.997357189655304}]","[{'label': 'NEGATIVE', 'score': 0.9971147775650024}]","[{'label': 'NEGATIVE', 'score': 0.98049396276474}]","[{'label': 'POSITIVE', 'score': 0.997974693775177}]"
"[{'label': 'NEUTRAL', 'score': 0.8115458488464355}]","[{'label': 'NEGATIVE', 'score': 0.9972422122955322}]","[{'label': 'NEGATIVE', 'score': 0.997404158115387}]","[{'label': 'POSITIVE', 'score': 0.9983680844306946}]"
"[{'label': 'POSITIVE', 'score': 0.9948371648788452}]","[{'label': 'NEUTRAL', 'score': 0.5414365530014038}]","[{'label': 'NEGATIVE', 'score': 0.9764772057533264}]","[{'label': 'NEGATIVE', 'score': 0.9459753036499023}]"
"[{'label': 'NEUTRAL', 'score': 0.6105959415435791}]","[{'label': 'NEGATIVE', 'score': 0.9973629117012024}]","[{'label': 'NEGATIVE', 'score': 0.9971967935562134}]","[{'label': 'NEUTRAL', 'score': 0.9844340682029724}]"
"[{'label': 'NEGATIVE', 'score': 0.9963825941085815}]","[{'label': 'POSITIVE', 'score': 0.9790455102920532}]","[{'label': 'NEGATIVE', 'score': 0.9719223976135254}]","[{'label': 'POSITIVE', 'score': 0.9747509360313416}]"
"[{'label': 'NEGATIVE', 'score': 0.9975351095199585}]","[{'label': 'NEGATIVE', 'score': 0.9940285682678223}]","[{'label': 'NEGATIVE', 'score': 0.9977607727050781}]","[{'label': 'POSITIVE', 'score': 0.9950828552246094}]"
"[{'label': 'POSITIVE', 'score': 0.9962588548660278}]","[{'label': 'NEGATIVE', 'score': 0.9977551102638245}]","[{'label': 'NEGATIVE', 'score': 0.9350878000259399}]","[{'label': 'POSITIVE', 'score': 0.5188254117965698}]"
"[{'label': 'NEGATIVE', 'score': 0.9972891807556152}]","[{'label': 'POSITIVE', 'score': 0.9891486763954163}]","[{'label': 'NEGATIVE', 'score': 0.997651994228363}]","[{'label': 'NEGATIVE', 'score': 0.9523335099220276}]"
"[{'label': 'POSITIVE', 'score': 0.9966489672660828}]","[{'label': 'NEUTRAL', 'score': 0.6512700915336609}]","[{'label': 'NEGATIVE', 'score': 0.9976707100868225}]","[{'label': 'NEGATIVE', 'score': 0.9976328611373901}]"
"[{'label': 'NEGATIVE', 'score': 0.9968942403793335}]","[{'label': 'NEGATIVE', 'score': 0.9963997602462769}]","[{'label': 'NEGATIVE', 'score': 0.9918063879013062}]","[{'label': 'POSITIVE', 'score': 0.9760029911994934}]"
"[{'label': 'POSITIVE', 'score': 0.9952515363693237}]","[{'label': 'NEGATIVE', 'score': 0.9965127110481262}]","[{'label': 'NEGATIVE', 'score': 0.997566819190979}]","[{'label': 'NEGATIVE', 'score': 0.991579532623291}]"
"[{'label': 'POSITIVE', 'score': 0.9987761378288269}]","[{'label': 'NEGATIVE', 'score': 0.9975939393043518}]","[{'label': 'NEGATIVE', 'score': 0.9974510073661804}]","[{'label': 'NEGATIVE', 'score': 0.9976317882537842}]"
"[{'label': 'POSITIVE', 'score': 0.998672604560852}]","[{'label': 'POSITIVE', 'score': 0.9942309856414795}]","[{'label': 'NEGATIVE', 'score': 0.9977153539657593}]","[{'label': 'NEGATIVE', 'score': 0.9974449872970581}]"
"[{'label': 'NEGATIVE', 'score': 0.996987521648407}]","[{'label': 'NEGATIVE', 'score': 0.9961974620819092}]","[{'label': 'NEGATIVE', 'score': 0.7596457004547119}]","[{'label': 'NEUTRAL', 'score': 0.9531832933425903}]"
"[{'label': 'NEGATIVE', 'score': 0.9967296123504639}]","[{'label': 'NEGATIVE', 'score': 0.9977339506149292}]","[{'label': 'NEGATIVE', 'score': 0.997452437877655}]","[{'label': 'POSITIVE', 'score': 0.988439679145813}]"
"[{'label': 'NEGATIVE', 'score': 0.9969881176948547}]","[{'label': 'POSITIVE', 'score': 0.9971400499343872}]","[{'label': 'NEGATIVE', 'score': 0.9979352951049805}]","[{'label': 'POSITIVE', 'score': 0.9793644547462463}]"
"[{'label': 'POSITIVE', 'score': 0.9967318773269653}]","[{'label': 'NEUTRAL', 'score': 0.6533858776092529}]","[{'label': 'NEGATIVE', 'score': 0.9974363446235657}]","[{'label': 'NEUTRAL', 'score': 0.8875108361244202}]"
"[{'label': 'POSITIVE', 'score': 0.9985581040382385}]","[{'label': 'NEGATIVE', 'score': 0.9964854717254639}]","[{'label': 'NEGATIVE', 'score': 0.9975984692573547}]","[{'label': 'NEGATIVE', 'score': 0.9942252039909363}]"
"[{'label': 'POSITIVE', 'score': 0.9986918568611145}]","[{'label': 'NEGATIVE', 'score': 0.9707537293434143}]","[{'label': 'NEGATIVE', 'score': 0.9974790215492249}]","[{'label': 'NEUTRAL', 'score': 0.5708728432655334}]"
"[{'label': 'POSITIVE', 'score': 0.9973949193954468}]","[{'label': 'NEGATIVE', 'score': 0.9978322386741638}]","[{'label': 'NEGATIVE', 'score': 0.8558942675590515}]","[{'label': 'POSITIVE', 'score': 0.9934524297714233}]"
"[{'label': 'POSITIVE', 'score': 0.9987058639526367}]","[{'label': 'NEGATIVE', 'score': 0.9977568984031677}]","[{'label': 'NEGATIVE', 'score': 0.997771680355072}]","[{'label': 'NEGATIVE', 'score': 0.7832365036010742}]"
"[{'label': 'POSITIVE', 'score': 0.9986481070518494}]","[{'label': 'NEGATIVE', 'score': 0.9972081780433655}]","[{'label': 'NEGATIVE', 'score': 0.9978024363517761}]","[{'label': 'POSITIVE', 'score': 0.9866076707839966}]"
"[{'label': 'POSITIVE', 'score': 0.9987140893936157}]","[{'label': 'NEGATIVE', 'score': 0.9976165294647217}]","[{'label': 'NEGATIVE', 'score': 0.9977973699569702}]","[{'label': 'NEUTRAL', 'score': 0.9504927396774292}]"
"[{'label': 'POSITIVE', 'score': 0.9986231327056885}]","[{'label': 'NEGATIVE', 'score': 0.9890967011451721}]","[{'label': 'POSITIVE', 'score': 0.9920176267623901}]","[{'label': 'NEGATIVE', 'score': 0.9969016313552856}]"
"[{'label': 'NEGATIVE', 'score': 0.9945201277732849}]","[{'label': 'POSITIVE', 'score': 0.7426901459693909}]","[{'label': 'NEGATIVE', 'score': 0.9936730861663818}]","[{'label': 'NEUTRAL', 'score': 0.9673036336898804}]"
"[{'label': 'NEGATIVE', 'score': 0.99574214220047}]","[{'label': 'POSITIVE', 'score': 0.9985162615776062}]","[{'label': 'NEGATIVE', 'score': 0.9977412223815918}]","[{'label': 'NEGATIVE', 'score': 0.9838933944702148}]"
"[{'label': 'POSITIVE', 'score': 0.9974254965782166}]","[{'label': 'POSITIVE', 'score': 0.9573113322257996}]","[{'label': 'NEGATIVE', 'score': 0.9976319074630737}]","[{'label': 'NEUTRAL', 'score': 0.8271510004997253}]"
"[{'label': 'POSITIVE', 'score': 0.9985028505325317}]","[{'label': 'NEGATIVE', 'score': 0.9973777532577515}]","[{'label': 'NEGATIVE', 'score': 0.9973056316375732}]","[{'label': 'NEUTRAL', 'score': 0.8823469281196594}]"
"[{'label': 'POSITIVE', 'score': 0.9988462924957275}]","[{'label': 'POSITIVE', 'score': 0.9384825825691223}]","[{'label': 'NEGATIVE', 'score': 0.9974682331085205}]","[{'label': 'POSITIVE', 'score': 0.9789544939994812}]"
"[{'label': 'NEGATIVE', 'score': 0.9968229532241821}]","[{'label': 'NEGATIVE', 'score': 0.9977327585220337}]","[{'label': 'NEGATIVE', 'score': 0.9971771240234375}]","[{'label': 'POSITIVE', 'score': 0.7603441476821899}]"
"[{'label': 'NEGATIVE', 'score': 0.9968760013580322}]","[{'label': 'NEUTRAL', 'score': 0.6016058921813965}]","[{'label': 'NEGATIVE', 'score': 0.9965304732322693}]","[{'label': 'NEGATIVE', 'score': 0.9969751834869385}]"
"[{'label': 'POSITIVE', 'score': 0.9986661672592163}]","[{'label': 'NEGATIVE', 'score': 0.9975855350494385}]","[{'label': 'NEGATIVE', 'score': 0.996183454990387}]","[{'label': 'POSITIVE', 'score': 0.9985795021057129}]"
"[{'label': 'POSITIVE', 'score': 0.9910927414894104}]","[{'label': 'POSITIVE', 'score': 0.9736542701721191}]","[{'label': 'NEGATIVE', 'score': 0.9974237680435181}]","[{'label': 'NEGATIVE', 'score': 0.9977213740348816}]"
"[{'label': 'NEGATIVE', 'score': 0.9963962435722351}]","[{'label': 'POSITIVE', 'score': 0.9873611927032471}]","[{'label': 'NEGATIVE', 'score': 0.9976893663406372}]","[{'label': 'NEGATIVE', 'score': 0.997183084487915}]"
"[{'label': 'NEGATIVE', 'score': 0.9963894486427307}]","[{'label': 'NEGATIVE', 'score': 0.99720698595047}]","[{'label': 'NEGATIVE', 'score': 0.9977916479110718}]","[{'label': 'POSITIVE', 'score': 0.9948947429656982}]"
"[{'label': 'POSITIVE', 'score': 0.9986788630485535}]","[{'label': 'NEGATIVE', 'score': 0.9970099925994873}]","[{'label': 'NEGATIVE', 'score': 0.9798572659492493}]","[{'label': 'POSITIVE', 'score': 0.9878984093666077}]"
"[{'label': 'POSITIVE', 'score': 0.9973788261413574}]","[{'label': 'NEGATIVE', 'score': 0.9978302121162415}]","[{'label': 'NEGATIVE', 'score': 0.997194766998291}]","[{'label': 'POSITIVE', 'score': 0.5116711258888245}]"
"[{'label': 'POSITIVE', 'score': 0.9987229704856873}]","[{'label': 'POSITIVE', 'score': 0.9897848963737488}]","[{'label': 'NEGATIVE', 'score': 0.9974243640899658}]","[{'label': 'NEUTRAL', 'score': 0.9485524296760559}]"
"[{'label': 'POSITIVE', 'score': 0.9987415671348572}]","[{'label': 'NEGATIVE', 'score': 0.9978085160255432}]","[{'label': 'NEGATIVE', 'score': 0.99240642786026}]","[{'label': 'NEGATIVE', 'score': 0.9971128702163696}]"
"[{'label': 'POSITIVE', 'score': 0.9985853433609009}]","[{'label': 'NEGATIVE', 'score': 0.9971964359283447}]","[{'label': 'NEGATIVE', 'score': 0.9453083872795105}]","[{'label': 'NEGATIVE', 'score': 0.9970384836196899}]"
"[{'label': 'POSITIVE', 'score': 0.9932618737220764}]","[{'label': 'POSITIVE', 'score': 0.9978262782096863}]","[{'label': 'NEGATIVE', 'score': 0.9967733025550842}]","[{'label': 'NEUTRAL', 'score': 0.8300685286521912}]"
"[{'label': 'POSITIVE', 'score': 0.9980019927024841}]","[{'label': 'NEGATIVE', 'score': 0.9974652528762817}]","[{'label': 'NEGATIVE', 'score': 0.9979146122932434}]","[{'label': 'NEUTRAL', 'score': 0.9862842559814453}]"
"[{'label': 'POSITIVE', 'score': 0.744030773639679}]","[{'label': 'POSITIVE', 'score': 0.9941110014915466}]","[{'label': 'NEGATIVE', 'score': 0.7487841844558716}]","[{'label': 'POSITIVE', 'score': 0.998066246509552}]"
"[{'label': 'POSITIVE', 'score': 0.9982380867004395}]","[{'label': 'NEGATIVE', 'score': 0.9976754784584045}]","[{'label': 'NEGATIVE', 'score': 0.9977756142616272}]","[{'label': 'POSITIVE', 'score': 0.9962249994277954}]"
"[{'label': 'NEGATIVE', 'score': 0.8374541401863098}]","[{'label': 'NEGATIVE', 'score': 0.9977453351020813}]","[{'label': 'NEGATIVE', 'score': 0.997603714466095}]","[{'label': 'NEGATIVE', 'score': 0.9947826266288757}]"
"[{'label': 'NEGATIVE', 'score': 0.8924183249473572}]","[{'label': 'POSITIVE', 'score': 0.9913909435272217}]","[{'label': 'NEUTRAL', 'score': 0.639895498752594}]","[{'label': 'NEUTRAL', 'score': 0.8234647512435913}]"
"[{'label': 'POSITIVE', 'score': 0.9960436820983887}]","[{'label': 'NEGATIVE', 'score': 0.9974448680877686}]","[{'label': 'NEGATIVE', 'score': 0.9977948665618896}]","[{'label': 'NEUTRAL', 'score': 0.6541694402694702}]"
